facility_id,city,name,url,status_code,final_url,page_title,scraped_at,keyword_count,keywords_found,relevant_text,error
SEOUL_001,Seoul,국립중앙박물관,https://www.museum.go.kr/site/eng/content/hours_and_fees,200.0,https://www.museum.go.kr/ENG/main/index.do,NATIONAL MUSEUM OF KOREA,2026-06-14 11:17:47 KST,3,"fee, free, hours","Children’s Museum NMK Magazine JKAA Museum Shop Related Site Gyeongju National Museum Gwangju National Museum Jeonju National Museum Daegu National Museum Buyeo National Museum Gongju National Museum Jinju National Museum Cheongju National Museum Gimhae National Museum Jeju National Museum Chuncheon National Museum Naju National Museum Iksan National Museum Cultural Foundation of National Museum of Korea Friends of National Museum of Korea The Korean Museum Association Language 한국어 日本語 中文 LogIn SignUp Language 한국어 日本語 中文 메뉴닫기 LogIn SignUp Reservations My Scrap Account Details Reservation List Directions Maps GuideBook Download Children’s Museum Museum Shop Hours Mon/Tue/Thu/Fri/Sun 09:30 ~ 17:30 Wed/Sat 09:30 ~ 21:00 * Entry closes 30 minutes before the closing time Fees Free Charges apply for special exhibitions Directions Reservations Special Exhibitions National Museum of Korea Current Special Tour of National Treasures: Masterpieces Across the Country May-19-2026 ~ Nov-29-2026 National Museum of Korea Current Thematic Kim Hongdo: Painting His Era May-04-2026 ~ Aug-02-2026 National Museum of Korea Current Thematic Newly Donated Collections: A Shared Appreciation of Beauty Apr-20-2026 ~ Jul-19-2026 National Museum of Korea Current Thematic Large Buddhist Hanging Scroll from Bongjeongsa Temple, Andong Apr-07-2026 ~ Jun-21-2026 National Museum of Korea Current Thematic The Story of Faceted White Porcelains Aug-26-2025 ~ Jun-21-2026 Gyeongju National Museum Current Gyeongju Hwangnyongsa and Its Wooden Pagoda: Enshrining the Sacred Relics of the Buddha Jun-12-2026 ~ Oct-11-2026 News More [2026.6.29~7.27] Notification on Temporary Closing of Children's Museum 2026.06.11 2026 National Museum of Korea (NMK) Overseas Korean Galleries Support Program 2026.04.27 Dress Like a Museum Exhibit 2026 PARTICIPATION RECRUITMENT 2026.06.12 Notice of temporary closure of the Buddhist Painting Gallery and the Buddhist Sculpture Gallery 2026.06.08 Notice of the National Museum of Korea Closing on Monday, June 1, 2026 2026.06.01 전시해설 영문 Expansion of Museum’s Mobile App Service Collection Gold Crown from Seobongchong Tomb Men's Top Painting of a Waterfall on Lushan Mountain Culture and Art-Painting and Calligraphy Celadon Bowl with Inlaid Grape and Child Design Roof-end Tile with Lotus Design, Earthenware Exhibits Online Tigers in Korean Art One Cat‘s Great Day Paintings of Ideal Life in Joseon A Royan Outing, a folding screen from Oberlin College's Allen Memorial Art Museum Joseon in the Western Eyes: King Gojong and Joseon Dynasty as Seen by Westerners Joseon in the Western Eyes: The Dietary Life of the People of Joseon Children’s Museum Children’s Museum Privacy Policy Terms of Use Contact Us Museum Shop Related Site Gyeongju National Museum Gwangju National Museum Jeonju National Museum Daegu National Museum Buyeo National Museum Gongju National Museum Jinju National Museum Cheongju National Museum Gimhae National Museum Jeju National Museum Chuncheon National Museum Naju National Museum Iksan National Museum Cultural Foundation of National Museum of Korea Friends of National Museum of Korea The Korean Museum Association GuideBook Download 한국어(PDF) English(PDF) 中文(PDF) 日本語(PDF) 박물관 야외정원 안내 Recommended Routes 推荐路线 おすすめ散策コース 137 Seobinggo-ro, Yongsan-gu, Seoul, 04383, Republic of Korea Tel : +82-2-2077-9000 © National Museum of Korea.",
SEOUL_002,Seoul,서울역사박물관,https://museum.seoul.go.kr/eng/index.do,,,,2026-06-14 11:17:48 KST,0,,,"HTTPSConnectionPool(host='museum.seoul.go.kr', port=443): Max retries exceeded with url: /eng/index.do (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:997)')))"
SEOUL_003,Seoul,국립현대미술관 서울관,https://www.mmca.go.kr/eng/visitingInfo/seoulInfo.do,200.0,https://www.mmca.go.kr/eng/visitingInfo/seoulInfo.do,MMCA,2026-06-14 11:17:49 KST,11,"accessibility, admission, closed, fee, free, hours, opening, student, ticket, 관람, 무료","본문으로 바로가기 MMCA 메인 메뉴 Visit Accessibility Seoul Gwacheon Deoksugung Cheongju Children’s Museum Event Residency Art Bank Exhibition Current Upcoming Past Learning Overview Collection Search Explore Conservation Research Library and Archive Research Publications Digital Museum Main Customized Search Audio Guide Magazine News Online Shop MMCA Sign up Login City, history and contemporary arts MMCA Seoul Opening hours Monday, Tuesday, Thursday, Friday and Sunday 10:00 ~ 18:00 Wednesday, Saturday 10:00 ~ 21:00 (Late opening 18:00~21:00) ※ Closed: Jan. || 1, Lunar New Year’s day, and Chuseok Read Notice ©Park JeongHoon Main Exhibition Event Admission Floor Guide Service Facilities Cultural Facilities Getting Here Exhibition No exhibition is available. || Event Admission 통합관람권(기획전), 할인대상, 무료대상 구분으로 관람료 책정 기준 항목으로 구성된 관람정보 리스트 입니다. || Discount Admission Ticket -Paid Exhibition Ticket: admission fees vary -All Pass Ticket: 10,000 KRW ※ When operating 3 or more paid exhibitions -Free admission on Wednesdays and Saturdays during late opening hours (6 PM to 9 PM) -Free admission day is the last Wednesday of every month, known as ""Culture Day"". || Free Admission General public - Individual under 24 or over 65 - Undergraduate student - Donor card holder and up to three accompanying persons - ICOM (International Council of Museums) card holder - CIMAM (International Committee for Museums and Collections of Modern Art) card holder - Patron/Partner card holder ※ ID or valid document must be presented at the admission booth. || Location : MMCA Seoul, Next to the digital library TEL : 070-4483-5999 TERAROSA COFFEE TERAROSA COFFEE offers guests cozy and relaxed ambience. || Besides house beverages and bakeries, the store serves espresso and drip coffee from different countries. || 5 Bus Naver map Kakao map Parking Art Shuttle Bus Service Parking Parking fee Minimum charge: KRW 4,200 for 1 hour (KRW 700 for every additional 10 minutes, KRW 30,000 per day) Service hours: 08:00 ~ 23:00 Parking capacity: 384 (Ground level 2 & 3) ※ No bus or mini bus carrying more than 15 passengers is allowed.",
SEOUL_004,Seoul,전쟁기념관,https://www.warmemo.or.kr/eng/index.do,,,,2026-06-14 11:17:50 KST,0,,,"HTTPSConnectionPool(host='www.warmemo.or.kr', port=443): Max retries exceeded with url: /eng/index.do (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)')))"
SEOUL_005,Seoul,덕수궁,https://royal.khs.go.kr,200.0,https://royal.khs.go.kr/,,2026-06-14 11:17:50 KST,0,,,
SEOUL_006,Seoul,창덕궁,https://royal.khs.go.kr,200.0,https://royal.khs.go.kr/,,2026-06-14 11:17:51 KST,0,,,
SEOUL_007,Seoul,경복궁,https://royal.khs.go.kr,200.0,https://royal.khs.go.kr/,,2026-06-14 11:17:51 KST,0,,,
SEOUL_008,Seoul,서울공예박물관,https://craftmuseum.seoul.go.kr/eng/main,200.0,https://craftmuseum.seoul.go.kr/eng/main,SeMoCA,2026-06-14 11:17:52 KST,0,,,
SEOUL_009,Seoul,서울시립미술관,https://sema.seoul.go.kr/en/index,200.0,https://sema.seoul.go.kr/en/index,SeMA,2026-06-14 11:17:53 KST,6,"accessibility, admission, closed, hours, last admission, opening","Go to Main Contents All menu shortcuts Bottom shortcuts 서울시립미술관 SEOUL MUSEUM OF ART menu Exhibitions Today Exhibitions Scheduled Exhibitions Past Exhibitions Educational Event All Children Youths Adults Collection & Art Research SeMA Collection Art Archives SeMA Coral, a Research Lab for All SeMA Books & Resources Seoul Mediacity Biennale All SMB Web System Seoul Photo Festival All Visiting SeMA Web Accessibility Seoul Museum of Art Buk-Seoul Museum of Art Seo-Seoul Museum of Art Art Archives Seoul Museum of Art Photography Seoul Museum of Art Nam-Seoul Museum of Art Nanji Residency Seoul Museum of Art Paik Ground Seoul Museum of Art Log in Search Sitemap KR Exhibitions Today Exhibitions Scheduled Exhibitions Past Exhibitions Educational Event All Children Youths Adults Collection & Art Research SeMA Collection Art Archives SeMA Coral, a Research Lab for All SeMA Books & Resources Seoul Mediacity Biennale All SMB Web System Seoul Photo Festival All Visiting SeMA Web Accessibility Seoul Museum of Art Buk-Seoul Museum of Art Seo-Seoul Museum of Art Art Archives Seoul Museum of Art Photography Seoul Museum of Art Nam-Seoul Museum of Art Nanji Residency Seoul Museum of Art Paik Ground Seoul Museum of Art Log in Search Sitemap KR back menu 작품명 분관명 전시기간 작품 정보 열기/닫기 2026 Korean Modern Masters 《Yoo Youngkuk: A Mountain Within Me》 작품 정보 닫기 Exhibition Location Seoul Museum of Art Seosomun Main Branch Exhibition Period 2026.05.19 ~ 2026.10.25 Weekdays(TUE–THU) 10AM–8PM Weekdays(FRI) 10AM–9PM (《Seoul Culture Night》) SAT · SUN · Public Holidays Summer, 10AM–7PM Winter, 10AM–6PM Opening Hours The last admission is 1 hour prior to closing time Closed Day 01.01 , Every Monday Regular closing days Kwon Byungjun: I Embrace You 작품 정보 닫기 Exhibition Location Buk-Seoul Museum of Art Exhibition Period 2026.06.11 ~ 2027.05.16 Weekdays(TUE–THU) 10AM–8PM Weekdays(FRI) 10AM–9PM (《Seoul Culture Night》) SAT · SUN · Public Holidays Summer, 10AM–7PM Winter, 10AM–6PM Opening Hours The last admission is 1 hour prior to closing time Closed Day 01.01 , Every Monday Regular closing days The 14th Seoul Mediacity pre-Biennale Inheriting the Future 작품 정보 닫기 Exhibition Location Nam-Seoul Museum of Art Exhibition Period 2026.05.20 ~ 2026.07.05 Weekdays(TUE–FRI) 10AM–8PM SAT · SUN · Public Holidays 10AM–6PM Opening Hours The last admission is 1 hour prior to closing time Closed Day 01.01 , Every Monday Regular closing days AMOR EX MACHINA 작품 정보 닫기 Exhibition Location Seoul Museum of Art Seosomun Main Branch Exhibition Period 2026.04.30 ~ 2026.09.06 Weekdays(TUE–THU) 10AM–8PM Weekdays(FRI) 10AM–9PM (《Seoul Culture Night》) SAT · SUN · Public Holidays Summer, 10AM–7PM Winter, 10AM–6PM Opening Hours The last admission is 1 hour prior to closing time Closed Day 01.01 , Every Monday Regular closing days Where Writing Breathes 작품 정보 닫기 Exhibition Location Buk-Seoul Museum of Art Exhibition Period 2026.04.23 ~ 2026.07.12 Weekdays(TUE–THU) 10AM–8PM Weekdays(FRI) 10AM–9PM (《Seoul Culture Night》) SAT · SUN · Public Holidays Summer, 10AM–7PM Winter, 10AM–6PM Opening Hours The last admission is 1 hour prior to closing time Closed Day 01.01 , Every Monday Regular closing days GanaArt Collection: Beneath Technology: Scenes at the Threshold 작품 정보 닫기 Exhibition Location Seoul Museum of Art Seosomun Main Branch Exhibition Period 2026.04.16 ~ 2026.11.22 Weekdays(TUE–THU) 10AM–8PM Weekdays(FRI) 10AM–9PM (《Seoul Culture Night》) SAT · SUN · Public Holidays Summer, 10AM–7PM Winter, 10AM–6PM Opening Hours The last admission is 1 hour prior to closing time Closed Day 01.01 , Every Monday Regular closing days 2026SePF 《Come Back Home》 작품 정보 닫기 Exhibition Location Photography Seoul Museum of Art Exhibition Period 2026.04.09 ~ 2026.06.14 Weekdays(TUE–FRI) 10AM–8PM SAT · SUN · Public Holidays Summer, 10AM–7PM Winter, 10AM–6PM Opening Hours The last admission is 1 hour prior to closing time Closed Day 01.01 , Every Monday Beyond project: Somatic Ground - Small Studio Semi 작품 정보 닫기 Exhibition Location Buk-Seoul Museum of Art Exhibition Period 2026.04.02 ~ 2027.05.30 Weekdays(TUE–THU) 10AM–8PM Weekdays(FRI) 10AM–9PM (《Seoul Culture Night》) SAT · SUN · Public Holidays Summer, 10AM–7PM Winter, 10AM–6PM Opening Hours The last admission is 1 hour prior to closing time Closed Day 01.01 , Every Monday Regular closing days Previous Play Stop Next Details page Go to the Details page. || Exhibitions & Programs Exhibitions Educational Programs Cultural Events Today Scheduled Past Collection & Art Research SeMA Collection Art Archives SeMA Coral, a Research Lab for All SeMA Books & Resources Visiting SeMA Web Accessibility Seoul Museum of Art Seosomun Main Branch Buk-Seoul Museum of Art Seo-Seoul Museum of Art Art Archives Seoul Museum of Art Photography Seoul Museum of Art Nam-Seoul Museum of Art Nanji Residency Seoul Museum of Art Paik Ground Seoul Museum of Art Seoul Museum of Art Official Facebook Seoul Museum of Art Official Twitter Seoul Museum of Art Official Instagram Seoul Museum of Art Official Yotube Seoul Museum of Art NaverTV Seoul Museum of Art Official Naver Blog 61, Deoksugung-gil, Jung-gu, Seoul, Republic of Korea (04515) 82-2-2124-8800 Privacy Policy Contributors Web Accessibility Quality Certification Mark by Ministry of Science and ICT, WebWatch 2024.2.22 ~ 2025.2.21 서울책방 Back to top",
SEOUL_010,Seoul,DDP,https://www.ddp.or.kr,200.0,https://ddp.or.kr/?menuno=228,DDP - 메인페이지 > DDP(KOR),2026-06-14 11:17:55 KST,0,,,
NYC_001,New York,Metropolitan Museum of Art,https://www.metmuseum.org/visit/plan-your-visit/met-fifth-avenue,200.0,https://www.metmuseum.org/ko/plan-your-visit/met-fifth-avenue,The Met Fifth Avenue - The Metropolitan Museum of Art,2026-06-14 11:17:57 KST,4,"경로, 무료, 입장, 휴관","건너뛰기 : 폐쇄 캔터 루프 가든, 근대 및 현대 미술 갤러리, 고대 서아시아 및 고대 키프로스 미술 갤러리는 보수 공사로 인해 휴관 중입니다. || 위치별 운영 시간 1000 Fifth Avenue , New York , NY 10028 지도 열기 일요일 - 월요일 - 화요일 - 수요일 - 목요일 - 금요일 - 토요일 - 휴관일: 추수감사절, 12월 25일, 1월 1일, 5월 첫째 월요일. || 530 BCE 물주전자를 들고 있는 젊은 여인 1662년경 자화상 1660년 메두사의 머리를 들고 있는 페르세우스 Italian, Rome 1804 – 6년 Facade of the Second Branch Bank of the United States Martin Euclid Thompson 1822–24 후안 데 파레하(1606년–1670년) 1650년 추수하는 사람들 1565년 Ceremonial House Ceiling Kwoma people 1970–1973 다마스커스실 이슬람력 1119년/서기 1707년 무료 투어 전체보기 A slider containing 15 items. || Met Fifth Avenue 디지털 가이드 Bloomberg Connects 앱에서 무료로 제공되는 새로운 디지털 가이드를 사용하여 방문의 질을 높이세요. || 방향 안내와 주차 박물관으로 가는 경로를 계획해 보세요. || 박물관 하이라이트 투어 박물관 티켓을 구매하시면 연중 내내 무료로 제공되는 한국어 가이드 투어의 전체 일정을 확인하세요. || The Met Cloisters 길 안내, 입장료, 식사 옵션 등 중세 유럽의 예술, 건축, 정원을 전문으로 하는 박물관 분관인 메트 클로이스터스(Met Cloisters) 방문에 대한 정보를 확인하세요.",
NYC_002,New York,MoMA,https://www.moma.org/visit/,,,,2026-06-14 11:17:58 KST,0,,,403 Client Error: Forbidden for url: https://www.moma.org/visit/
NYC_003,New York,Guggenheim Museum,https://www.guggenheim.org/plan-your-visit,200.0,https://www.guggenheim.org/plan-your-visit,Plan Your Visit | The Guggenheim Museums and Foundation,2026-06-14 11:17:58 KST,0,,,
NYC_004,New York,American Museum of Natural History,https://www.amnh.org/plan-your-visit,,,,2026-06-14 11:17:59 KST,0,,,403 Client Error: Forbidden for url: https://www.amnh.org/plan-your-visit
